"ReadingOriginal","ReadingStand","Values","Humidity"
"22/12/2020 14:04:01",2020-12-22 14:04:01,28.25,14.904
"22/12/2020 15:04:01",2020-12-22 15:04:01,23.75,19.455
"22/12/2020 16:04:01",2020-12-22 16:04:01,17.375,30.793
"22/12/2020 17:04:01",2020-12-22 17:04:01,10.75,51.831
"22/12/2020 18:04:01",2020-12-22 18:04:01,7.563,60.135
"22/12/2020 19:04:01",2020-12-22 19:04:01,6.313,66.083
"22/12/2020 20:04:01",2020-12-22 20:04:01,4.563,70.155
"22/12/2020 21:04:01",2020-12-22 21:04:01,6.25,69.956
"22/12/2020 22:04:01",2020-12-22 22:04:01,8.125,68.598
"22/12/2020 23:04:01",2020-12-22 23:04:01,8.625,70.714
"23/12/2020 00:04:01",2020-12-23 00:04:01,4.063,77.78
"23/12/2020 01:04:01",2020-12-23 01:04:01,2.563,80.056
"23/12/2020 02:04:01",2020-12-23 02:04:01,1.75,81.573
"23/12/2020 03:04:01",2020-12-23 03:04:01,1.188,83.249
"23/12/2020 04:04:01",2020-12-23 04:04:01,2.063,81.413
"23/12/2020 05:04:01",2020-12-23 05:04:01,3.438,79.936
"23/12/2020 06:04:01",2020-12-23 06:04:01,3,84.287
"23/12/2020 07:04:01",2020-12-23 07:04:01,3.625,85.405
"23/12/2020 08:04:01",2020-12-23 08:04:01,8.563,82.291
"23/12/2020 09:04:01",2020-12-23 09:04:01,11.375,79.337
"23/12/2020 10:04:01",2020-12-23 10:04:01,15.25,52.47
"23/12/2020 11:04:01",2020-12-23 11:04:01,20.938,29.874
"23/12/2020 12:04:01",2020-12-23 12:04:01,21.625,18.018
"23/12/2020 13:04:01",2020-12-23 13:04:01,21.938,14.944
"23/12/2020 14:04:01",2020-12-23 14:04:01,21.5,11.99
"23/12/2020 15:04:01",2020-12-23 15:04:01,18.75,10.792
"23/12/2020 16:04:01",2020-12-23 16:04:01,16.25,12.269
"23/12/2020 17:04:01",2020-12-23 17:04:01,13.75,12.349
"23/12/2020 18:04:01",2020-12-23 18:04:01,13.813,10.792
"23/12/2020 19:04:01",2020-12-23 19:04:01,12.938,10.912
"23/12/2020 20:04:01",2020-12-23 20:04:01,12.25,10.233
"23/12/2020 21:04:01",2020-12-23 21:04:01,12.188,10.113
"23/12/2020 22:04:01",2020-12-23 22:04:01,12.313,9.674
"23/12/2020 23:04:01",2020-12-23 23:04:01,12.813,8.477
"24/12/2020 00:04:01",2020-12-24 00:04:01,12.313,8.357
"24/12/2020 01:04:01",2020-12-24 01:04:01,12.625,8.037
"24/12/2020 02:04:01",2020-12-24 02:04:01,11.375,8.357
"24/12/2020 03:04:01",2020-12-24 03:04:01,11.813,8.397
"24/12/2020 04:04:01",2020-12-24 04:04:01,11.875,8.197
"24/12/2020 05:04:01",2020-12-24 05:04:01,10.813,9.475
"24/12/2020 06:04:01",2020-12-24 06:04:01,11,8.956
"24/12/2020 07:04:01",2020-12-24 07:04:01,9.625,9.874
"24/12/2020 08:04:01",2020-12-24 08:04:01,10.688,11.75
"24/12/2020 09:04:01",2020-12-24 09:04:01,12.938,11.551
"24/12/2020 10:04:01",2020-12-24 10:04:01,14.938,12.189
"24/12/2020 11:04:01",2020-12-24 11:04:01,14.813,12.628
"24/12/2020 12:04:01",2020-12-24 12:04:01,20.313,13.227
"24/12/2020 13:04:01",2020-12-24 13:04:01,19.5,10.632
"24/12/2020 14:04:01",2020-12-24 14:04:01,15.625,11.391
"24/12/2020 15:04:01",2020-12-24 15:04:01,12.313,23.966
"24/12/2020 16:04:01",2020-12-24 16:04:01,8.313,76.183
"24/12/2020 17:04:01",2020-12-24 17:04:01,13.563,40.813
"24/12/2020 18:04:01",2020-12-24 18:04:01,13.25,35.304
"24/12/2020 19:04:01",2020-12-24 19:04:01,13.625,33.667
"24/12/2020 20:04:01",2020-12-24 20:04:01,12.125,36.382
"24/12/2020 21:04:01",2020-12-24 21:04:01,10.625,39.056
"24/12/2020 22:04:01",2020-12-24 22:04:01,10,38.777
"24/12/2020 23:04:01",2020-12-24 23:04:01,6.438,43.607
"25/12/2020 00:04:01",2020-12-25 00:04:01,6.125,46.562
"25/12/2020 01:04:01",2020-12-25 01:04:01,4.875,49.835
"25/12/2020 02:04:01",2020-12-25 02:04:01,5.188,52.949
"25/12/2020 03:04:01",2020-12-25 03:04:01,4.313,55.225
"25/12/2020 04:04:01",2020-12-25 04:04:01,4.75,55.783
"25/12/2020 05:04:01",2020-12-25 05:04:01,6.813,55.624
"25/12/2020 06:04:01",2020-12-25 06:04:01,5.875,49.915
"25/12/2020 07:04:01",2020-12-25 07:04:01,7.313,49.156
"25/12/2020 08:04:01",2020-12-25 08:04:01,5.875,52.749
"25/12/2020 09:04:01",2020-12-25 09:04:01,11.188,50.594
"25/12/2020 10:04:01",2020-12-25 10:04:01,16.563,42.05
"25/12/2020 11:04:01",2020-12-25 11:04:01,21.563,29.835
"25/12/2020 12:04:01",2020-12-25 12:04:01,25,22.249
"25/12/2020 13:04:01",2020-12-25 13:04:01,27.25,16.102
"25/12/2020 14:04:01",2020-12-25 14:04:01,26.813,14.066
"25/12/2020 15:04:01",2020-12-25 15:04:01,25.063,15.583
"25/12/2020 16:04:01",2020-12-25 16:04:01,18.625,20.014
"25/12/2020 17:04:01",2020-12-25 17:04:01,11.188,36.422
"25/12/2020 18:04:01",2020-12-25 18:04:01,8.438,43.328
"25/12/2020 19:04:01",2020-12-25 19:04:01,7.75,43.927
"25/12/2020 20:04:01",2020-12-25 20:04:01,6.688,48.079
"25/12/2020 21:04:01",2020-12-25 21:04:01,5.438,50.075
"25/12/2020 22:04:01",2020-12-25 22:04:01,5.438,52.47
"25/12/2020 23:04:01",2020-12-25 23:04:01,5.188,53.907
"26/12/2020 00:04:01",2020-12-26 00:04:01,5.5,54.067
"26/12/2020 01:04:01",2020-12-26 01:04:01,4.688,55.225
"26/12/2020 02:04:01",2020-12-26 02:04:01,4.625,56.821
"26/12/2020 03:04:01",2020-12-26 03:04:01,4.063,62.73
"26/12/2020 04:04:01",2020-12-26 04:04:01,2.625,65.444
"26/12/2020 05:04:01",2020-12-26 05:04:01,3.5,67.68
"26/12/2020 06:04:01",2020-12-26 06:04:01,2.375,70.155
"26/12/2020 07:04:01",2020-12-26 07:04:01,3,72.191
"26/12/2020 08:04:01",2020-12-26 08:04:01,4.313,68.359
"26/12/2020 09:04:01",2020-12-26 09:04:01,9.438,67.041
"26/12/2020 10:04:01",2020-12-26 10:04:01,15.625,58.538
"26/12/2020 11:04:01",2020-12-26 11:04:01,19.688,39.895
"26/12/2020 12:04:01",2020-12-26 12:04:01,22.375,41.092
"26/12/2020 13:04:01",2020-12-26 13:04:01,25,35.863
"26/12/2020 14:04:01",2020-12-26 14:04:01,26.313,30.194
"26/12/2020 15:04:01",2020-12-26 15:04:01,23.188,31.631
"26/12/2020 16:04:01",2020-12-26 16:04:01,16,56.821
"26/12/2020 17:04:01",2020-12-26 17:04:01,11.438,69.836
"26/12/2020 18:04:01",2020-12-26 18:04:01,8.188,74.666
"26/12/2020 19:04:01",2020-12-26 19:04:01,8.438,78.459
"26/12/2020 20:04:01",2020-12-26 20:04:01,6.438,81.213
"26/12/2020 21:04:01",2020-12-26 21:04:01,5.688,83.888
"26/12/2020 22:04:01",2020-12-26 22:04:01,4.125,86.243
"26/12/2020 23:04:01",2020-12-26 23:04:01,3.438,87.122
"27/12/2020 00:04:01",2020-12-27 00:04:01,3.688,87.601
"27/12/2020 01:04:01",2020-12-27 01:04:01,6.375,82.69
"27/12/2020 02:04:01",2020-12-27 02:04:01,8.5,82.411
"27/12/2020 03:04:01",2020-12-27 03:04:01,8.625,85.006
"27/12/2020 04:04:01",2020-12-27 04:04:01,6.625,87.122
"27/12/2020 05:04:01",2020-12-27 05:04:01,6.688,87.241
"27/12/2020 06:04:01",2020-12-27 06:04:01,5.25,89.916
"27/12/2020 07:04:01",2020-12-27 07:04:01,5.875,90.355
"27/12/2020 08:04:01",2020-12-27 08:04:01,8.875,88.04
"27/12/2020 09:04:01",2020-12-27 09:04:01,11.125,86.443
"27/12/2020 10:04:01",2020-12-27 10:04:01,13.063,86.164
"27/12/2020 11:04:01",2020-12-27 11:04:01,14.75,85.325
"27/12/2020 12:04:01",2020-12-27 12:04:01,15.125,80.694
"27/12/2020 13:04:01",2020-12-27 13:04:01,16.813,76.263
"27/12/2020 14:04:01",2020-12-27 14:04:01,17.688,65.524
"27/12/2020 15:04:01",2020-12-27 15:04:01,19.563,58.857
"27/12/2020 16:04:01",2020-12-27 16:04:01,14.25,66.083
"27/12/2020 17:04:01",2020-12-27 17:04:01,11.5,76.742
"27/12/2020 18:04:01",2020-12-27 18:04:01,11.938,76.503
"27/12/2020 19:04:01",2020-12-27 19:04:01,10.625,83.249
"27/12/2020 20:04:01",2020-12-27 20:04:01,6.188,88.679
"27/12/2020 21:04:01",2020-12-27 21:04:01,9.063,85.405
"27/12/2020 22:04:01",2020-12-27 22:04:01,10,83.888
"27/12/2020 23:04:01",2020-12-27 23:04:01,7.625,87.8
"28/12/2020 00:04:01",2020-12-28 00:04:01,8.688,88.958
"28/12/2020 01:04:01",2020-12-28 01:04:01,9.875,88.04
"28/12/2020 02:04:01",2020-12-28 02:04:01,7.938,95.186
"28/12/2020 03:04:01",2020-12-28 03:04:01,7.813,98.459
"28/12/2020 04:04:01",2020-12-28 04:04:01,7.688,101.613
"28/12/2020 05:04:01",2020-12-28 05:04:01,7.563,102.731
"28/12/2020 06:04:01",2020-12-28 06:04:01,6.688,105.206
"28/12/2020 07:04:01",2020-12-28 07:04:01,7.188,104.687
"28/12/2020 08:04:01",2020-12-28 08:04:01,8.688,103.33
"28/12/2020 09:04:01",2020-12-28 09:04:01,9.813,101.693
"28/12/2020 10:04:01",2020-12-28 10:04:01,8.375,105.246
"28/12/2020 11:04:01",2020-12-28 11:04:01,13,99.577
"28/12/2020 12:04:01",2020-12-28 12:04:01,15.875,97.861
"28/12/2020 13:04:01",2020-12-28 13:04:01,13.938,99.817
"28/12/2020 14:04:01",2020-12-28 14:04:01,11.625,101.933
